covariate_analysis_id,covariate_analysis_name,analysis_id
212,ConditionGroupEraShortTerm,1
804,ObservationShortTerm,1
602,DeviceExposureLongTerm,1
712,MeasurementRangeGroupShortTerm,1
4,DemographicsRace,1
901,CharlsonIndex,1
808,ObservationValueAsConceptShortTerm,1
904,Chads2Vasc,1
704,MeasurementShortTerm,1
902,Dcsi,1
410,DrugGroupEraLongTerm,1
412,DrugGroupEraShortTerm,1
702,MeasurementLongTerm,1
6,DemographicsIndexYear,1
7,DemographicsIndexMonth,1
714,MeasurementValueAsConceptLongTerm,1
210,ConditionGroupEraLongTerm,1
5,DemographicsEthnicity,1
1,DemographicsGender,1
604,DeviceExposureShortTerm,1
802,ObservationLongTerm,1
502,ProcedureOccurrenceLongTerm,1
3,DemographicsAgeGroup,1
710,MeasurementRangeGroupLongTerm,1
413,DrugGroupEraOverlapping,1
806,ObservationValueAsConceptLongTerm,1
504,ProcedureOccurrenceShortTerm,1
716,MeasurementValueAsConceptShortTerm,1
903,Chads2,1
