database_id,target_id,comparator_id,outcome_id,analysis_id,covariate_id,target_mean_before,comparator_mean_before,std_diff_before,target_mean_after,comparator_mean_after,std_diff_after,mean_before,mean_after,target_std_diff,comparator_std_diff,target_comparator_std_diff
388020256,1,2,3,1,1901,0.614,0.402,0.332,0.614,0.402,0.332,0.548,0.548,0,0,0
388020256,1,2,3,1,4266809212,0.188,0.076,0.311,0.188,0.076,0.311,0.152,0.152,0,0,0
388020256,1,2,3,1,4266809210,0.188,0.076,0.311,0.188,0.076,0.311,0.152,0.152,0,0,0
388020256,1,2,3,1,4285898210,0.173,0.077,0.274,0.173,0.077,0.274,0.143,0.143,0,0,0
388020256,1,2,3,1,30753210,0.101,0.043,0.208,0.101,0.043,0.208,0.083,0.083,0,0,0
388020256,1,2,3,1,81893210,0.031,0.011,0.131,0.031,0.011,0.131,0.025,0.025,0,0,0
388020256,1,2,3,1,4112343210,0.076,0.047,0.117,0.076,0.047,0.117,0.067,0.067,0,0,0
388020256,1,2,3,1,1965006,-0.003,0.006,-0.115,-0.003,0.006,-0.115,-0.006,-0.006,0,0,0
388020256,1,2,3,1,2003006,0.022,0.037,-0.097,0.022,0.037,-0.097,0.027,0.027,0,0,0
388020256,1,2,3,1,3006322702,0.081,0.057,0.092,0.081,0.057,0.092,0.073,0.073,0,0,0
388020256,1,2,3,1,81151210,0.007,0.016,-0.085,0.007,0.016,-0.085,0.01,0.01,0,0,0
388020256,1,2,3,1,9007,0.08,0.058,0.085,0.08,0.058,0.085,0.073,0.073,0,0,0
388020256,1,2,3,1,1125315413,-0.003,0.007,-0.081,-0.003,0.007,-0.081,-0.006,-0.006,0,0,0
388020256,1,2,3,1,372328210,0.007,-0.006,0.078,0.007,-0.006,0.078,-0.006,-0.006,0,0,0
388020256,1,2,3,1,4113008210,-0.003,-0.006,-0.078,-0.003,-0.006,-0.078,-0.006,-0.006,0,0,0
388020256,1,2,3,1,4007,0.083,0.063,0.078,0.083,0.063,0.078,0.077,0.077,0,0,0
388020256,1,2,3,1,1984006,0.017,0.008,0.074,0.017,0.008,0.074,0.014,0.014,0,0,0
388020256,1,2,3,1,1973006,0.008,-0.006,0.069,0.008,-0.006,0.069,0.006,0.006,0,0,0
388020256,1,2,3,1,1964006,0.003,0.007,-0.069,0.003,0.007,-0.069,-0.006,-0.006,0,0,0
388020256,1,2,3,1,1999006,0.023,0.034,-0.069,0.023,0.034,-0.069,0.026,0.026,0,0,0
