age,n,analysis_id,target_cohort_id,target_cohort_name,database_id
32,<5,1,1,celecoxib,388020256
33,11,1,1,celecoxib,388020256
34,18,1,1,celecoxib,388020256
35,25,1,1,celecoxib,388020256
36,36,1,1,celecoxib,388020256
37,36,1,1,celecoxib,388020256
38,37,1,1,celecoxib,388020256
39,40,1,1,celecoxib,388020256
40,33,1,1,celecoxib,388020256
41,28,1,1,celecoxib,388020256
42,36,1,1,celecoxib,388020256
43,18,1,1,celecoxib,388020256
44,17,1,1,celecoxib,388020256
45,14,1,1,celecoxib,388020256
46,<5,1,1,celecoxib,388020256
