index_year,n,analysis_id,target_cohort_id,target_cohort_name,database_id
1943,<5,1,1,celecoxib,388020256
1944,<5,1,1,celecoxib,388020256
1945,<5,1,1,celecoxib,388020256
1946,<5,1,1,celecoxib,388020256
1947,<5,1,1,celecoxib,388020256
1948,<5,1,1,celecoxib,388020256
1949,<5,1,1,celecoxib,388020256
1950,<5,1,1,celecoxib,388020256
1953,<5,1,1,celecoxib,388020256
1955,<5,1,1,celecoxib,388020256
1956,<5,1,1,celecoxib,388020256
1957,<5,1,1,celecoxib,388020256
1958,<5,1,1,celecoxib,388020256
1959,<5,1,1,celecoxib,388020256
1962,<5,1,1,celecoxib,388020256
1963,<5,1,1,celecoxib,388020256
1965,<5,1,1,celecoxib,388020256
1966,<5,1,1,celecoxib,388020256
1968,<5,1,1,celecoxib,388020256
1969,<5,1,1,celecoxib,388020256
1970,<5,1,1,celecoxib,388020256
1971,<5,1,1,celecoxib,388020256
1972,<5,1,1,celecoxib,388020256
1974,<5,1,1,celecoxib,388020256
1975,<5,1,1,celecoxib,388020256
1976,<5,1,1,celecoxib,388020256
1977,<5,1,1,celecoxib,388020256
1978,<5,1,1,celecoxib,388020256
1979,<5,1,1,celecoxib,388020256
1980,5,1,1,celecoxib,388020256
1981,<5,1,1,celecoxib,388020256
1982,5,1,1,celecoxib,388020256
1984,7,1,1,celecoxib,388020256
1985,7,1,1,celecoxib,388020256
1986,<5,1,1,celecoxib,388020256
1987,9,1,1,celecoxib,388020256
1988,5,1,1,celecoxib,388020256
1989,<5,1,1,celecoxib,388020256
1990,8,1,1,celecoxib,388020256
1991,5,1,1,celecoxib,388020256
1992,9,1,1,celecoxib,388020256
1993,<5,1,1,celecoxib,388020256
1994,6,1,1,celecoxib,388020256
1995,15,1,1,celecoxib,388020256
1996,5,1,1,celecoxib,388020256
1997,12,1,1,celecoxib,388020256
1998,8,1,1,celecoxib,388020256
1999,10,1,1,celecoxib,388020256
2000,11,1,1,celecoxib,388020256
2001,11,1,1,celecoxib,388020256
2002,11,1,1,celecoxib,388020256
2003,<5,1,1,celecoxib,388020256
2004,8,1,1,celecoxib,388020256
2005,10,1,1,celecoxib,388020256
2006,9,1,1,celecoxib,388020256
2007,10,1,1,celecoxib,388020256
2008,9,1,1,celecoxib,388020256
2009,6,1,1,celecoxib,388020256
2010,12,1,1,celecoxib,388020256
2011,5,1,1,celecoxib,388020256
2012,11,1,1,celecoxib,388020256
2013,9,1,1,celecoxib,388020256
2014,8,1,1,celecoxib,388020256
2015,11,1,1,celecoxib,388020256
2016,8,1,1,celecoxib,388020256
2017,12,1,1,celecoxib,388020256
2018,8,1,1,celecoxib,388020256
2019,<5,1,1,celecoxib,388020256
